Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
Xinhua News Media Holdings Limited (SEHK:309),IQ10600251,2013,,,,,,10,11.4,1.26,50.8,0.017,41.7,0.173,0
"Xinhua Winshare Publishing and Media Co., Ltd. (SEHK:811)",IQ28706226,2013,,,,,,291.2,322.4,268.6,1719.9,13.6,1106,78.4,0.063
"Xinjiang GoldWind Science & Technology Co., Ltd. (SZSE:002202)",IQ39393567,2013,,,,,,928.9,953.2,2157.8,7166.1,1660.7,2875.8,1296.8,0.017
Xinjiang Tianye Water Saving Irrigation System Company Limited (SEHK:840),IQ26051446,2013,,,,,,20.7,20.7,40.9,215.5,0,152.3,2.99,0
"Xinjiang Xinxin Mining Industry Co.,Ltd (SEHK:3833)",IQ35646941,2013,,,,,,135.7,135.7,1311.4,2305.8,902.4,1165,212.4,0
Xinming China Holdings Limited (SEHK:2699),IQ271753028,2013,,,,,,33.7,114.2,4.11,1336.9,181.9,257.2,1.7,0
XinRen Aluminum Holdings Limited (SGX:MN5),IQ113932471,2013,,,,,,350.8,351.3,477.1,1959.6,624.5,431.9,14.9,0
Xinyi Glass Holdings Ltd. (SEHK:868),IQ13575007,2013,,,,,,169.7,169.7,1702.6,3199.1,836.8,1987.5,426.9,0.044
Xinyi Solar Holdings Limited (SEHK:968),IQ142662712,2013,,,,,,45.4,45.4,222.7,437.4,0,376.1,39,0.003
Xiwang Property Holdings Company Limited (SEHK:2088),IQ24965335,2013,,,,,,1.81,1.81,0.387,213.2,0,143.5,15.5,0
Xiwang Special Steel Company Limited (SEHK:1266),IQ165774910,2013,,,,,,19.5,20.5,1630,2170.1,404.9,653.3,461.9,0.003
XMH Holdings Ltd. (SGX:M9F),IQ115151621,2013,,,,,,43.7,43.7,1.96,79.9,0.342,44.2,0.772,0.01
Xpress Holdings Ltd (SGX:I04),IQ6522617,2013,,,,,,6.36,7.96,12.1,165.9,11.7,141.4,0.059,0
Xtep International Holdings Limited (SEHK:1368),IQ45535911,2013,,,,,,743,764.3,113.6,1523.5,321.4,939.8,47.8,0.029
"XYEC Holdings Co., Ltd. (Catalist:5WR)",IQ182333435,2013,,,,,,27.4,27.4,2.12,54.5,13.3,18.9,0.171,0
Y. T. Realty Group Limited (SEHK:75),IQ875899,2013,,,,,,40.7,40.7,620.1,954.7,21.7,907.6,0,0.006
Yamada Green Resources Limited (SGX:MC7),IQ113337134,2013,,,,,,4.36,4.36,11.2,143.4,0,137.7,5.33,0.003
Yan Tat Group Holdings Limited (SEHK:1480),IQ271378916,2013,,,,,,7.34,9.05,46,107.3,36,43.6,13,0
Yanchang Petroleum International Limited (SEHK:346),IQ5721184,2013,,,,,,138.1,138.1,1425.4,1685.5,52.1,1593.2,5.01,0
Yangtze Optical Fibre And Cable Joint Stock Limited Company (SEHK:6869),IQ5579380,2013,,,,,,189,190.2,179.3,1044.1,338.2,314.8,25.4,0
Yangtzekiang Garment Limited (SEHK:294),IQ7657629,2013,,,,,,43.2,49.8,48.2,235,0,203.3,1.99,0.008
Yangzijiang Shipbuilding (Holdings) Ltd. (SGX:BS6),IQ33774691,2013,,,,,,299.5,1972.6,1207.9,9009.5,2788.8,3809.9,233.1,0.05
Yanlord Land Group Limited (SGX:Z25),IQ27657923,2013,,,,,,1476.6,1478.9,157.9,12810,3655.7,5808.5,21,0.013
Yantai North Andre Juice Company Limited (SEHK:2218),IQ8292715,2013,,,,,,91.1,91.1,149.4,509.2,145.1,320.2,8.14,0.01
Yanzhou Coal Mining Co. Ltd. (SEHK:1171),IQ387417,2013,,,,,,2277.4,2277.4,8735.4,26575.1,11554.8,9171.1,2131.2,0.004
Yashili International Holdings Limited (SEHK:1230),IQ114325270,2013,,,,,,169,248.3,254.7,941.7,48.3,648.4,53.2,0.008
Yat Sing Holdings Limited (SEHK:3708),IQ274484771,2013,,,,,,1.22,1.26,2.2,65.9,4.89,31.4,0.023,0
Yau Lee Holdings Ltd. (SEHK:406),IQ878495,2013,,,,,,104.1,104.1,175,705.4,281.5,239.9,27,0.004
Yeebo (International Holdings) Limited (SEHK:259),IQ878233,2013,,,,,,13.5,14.3,28,186.4,0,151.2,6.01,0.004
Yeo Hiap Seng Limited (SGX:Y03),IQ874602,2013,,,,,,189.6,201.4,154.7,860,14,736.5,61.1,0.02
Yestar International Holdings Company Limited (SEHK:2393),IQ244030606,2013,,,,,,59,59,21.8,153.5,24.4,71.3,4.66,0.004
YGM Trading Ltd. (SEHK:375),IQ875815,2013,8327,8327,0,0,3793,104.9,113.9,31.6,291,0.651,242.4,4.53,0.168
YHI International Limited (SGX:Y08),IQ7657636,2013,8327,8327,0,0,3793,57.4,59.2,136.9,446.7,139.7,262,11.1,0.007
Yi Hua Holdings Limited (SEHK:2213),IQ249840982,2013,14860.7,7347.7,2105,1793.9,1359.9,47.6,47.6,42.4,144.5,0,27.7,16.4,0
Yida China Holdings Limited (SEHK:3639),IQ262607278,2013,2398,958.9,683.6,517.7,399.8,441.3,1082.4,25.2,7644.1,3435.9,1457.6,5.39,0
Ying Li International Real Estate Limited (SGX:5DM),IQ46551224,2013,1708.6,825.2,0,0,586.4,151.6,153.2,1.82,1669.6,584.4,719.7,0.306,0
Yingde Gases Group Co Ltd. (SEHK:2168),IQ69084861,2013,293720.3,7004.3,10592.9,5306.5,-10156.1,71.4,71.4,2491.9,3451,1724.8,1298.9,561.1,0.038
Yip's Chemical Holdings Ltd. (SEHK:408),IQ878454,2013,2190.8,1300.4,0,0,841.3,214.5,222.9,264.7,1323.3,454,554.9,37.2,0.041
Yoma Strategic Holdings Ltd. (SGX:Z59),IQ24906487,2013,,,,,,106.2,106.2,2.51,462.6,28.8,396.1,2.21,0.005
Yongmao Holdings Limited (SGX:E6A),IQ41131626,2013,,,,,,27.5,27.6,75.9,266.8,69.3,100.7,7.77,0.003
Yongnam Holdings Limited (SGX:AXB),IQ3351865,2013,5079.1,1103.3,243.6,167,253.5,14.8,16.6,356.9,601.2,182.6,316.8,56,0.024
Yongsheng Advanced Materials Company Limited (SEHK:3608),IQ250813214,2013,73721,73721,0,0,20453.7,34.7,35.5,27.3,150.8,46.2,66.1,1.32,0
Yorkey Optical International (Cayman) Ltd. (SEHK:2788),IQ25542725,2013,1499,749.4,0,0,462.8,150.2,151.4,26,217.3,0,189.6,0.779,0.008
Youyuan International Holdings Ltd. (SEHK:2268),IQ105727512,2013,2603.7,910.8,667,443,243.2,29.6,29.6,420.8,724.4,202.4,447.9,47.4,0.015
Yuan Heng Gas Holdings Limited (SEHK:332),IQ249067179,2013,5061.3,1707.6,1511.9,1113.1,714.6,16.2,25.7,185.6,423.6,149.5,145.2,12.4,0
Yuanda China Holdings Limited (SEHK:2789),IQ130214692,2013,66817.9,39959.2,26067.7,15885.5,12195.3,682.6,682.6,172.9,2905.4,638.7,856.3,16.7,0.013
YuanShengTai Dairy Farm Limited (SEHK:1431),IQ241543860,2013,11,11,0,9.05,8.17,422.5,422.5,506.6,1035.7,45.9,815.4,84.2,0
Yuanta/P-shares Taiwan Top 50 ETF (TSEC:0050),IQ34513608,2013,,,,,,,,,,,,,
Yue Da Mining Holdings Limited (SEHK:629),IQ7689747,2013,4070.6,1333,981.3,967,595.8,15.8,17.9,196.2,314.7,60.6,191.7,8.1,0
Yue Yuen Industrial (Holdings) Limited (SEHK:551),IQ878106,2013,1175.2,603.4,324.4,252.5,-2562.4,1168.9,1175.6,2235.3,8826.6,1185.9,5978.6,232.7,0.179
Yueshou Environmental Holdings Limited (SEHK:1191),IQ878852,2013,963,604.2,154.6,119.4,101.6,1.4,1.4,1.06,170.6,8.69,151.1,0.126,0
Yuexiu Property Company Limited (SEHK:123),IQ878461,2013,,,,,,1053.9,1053.9,213.3,16277.7,4976,5245.9,32.1,0.014
Yuexiu Real Estate Investment Trust (SEHK:405),IQ27368066,2013,,,,,,133.4,133.4,4367.5,5118.6,1635,2659,0,0.045
Yuexiu Transport Infrastructure Limited (SEHK:1052),IQ4484524,2013,,,,,,334.6,339.2,135.1,3800.1,1227.3,2143,14.8,0.043
Yugang International Limited (SEHK:613),IQ878380,2013,,,,,,4.5,30.8,8.42,443.7,34.5,405.8,0.33,0
Yuhua Energy Holdings Limited (SEHK:2728),IQ22934389,2013,,,,,,8.21,8.21,2.75,101,0,42.5,1.49,0.001
Yunbo Digital Synergy Group Limited (SEHK:8050),IQ7652763,2013,,,,,,4.5,4.5,0.098,9.78,1.6,5.03,0.104,0
Yunnan Water Investment Company Limited (SEHK:6839),IQ238655758,2013,,,,,,158.1,158.1,212.6,741.7,136.7,474.6,69.5,0
Yusei Holdings Limited (SEHK:96),IQ24270220,2013,,,,,,15.6,15.6,67,182.1,72.4,54.4,7.9,0
Yuuzoo Corporation Limited (SGX:AFC),IQ45239767,2013,,,,,,3.13,3.19,0.076,48.3,1.16,27,0.072,0
Yuxing InfoTech Investment Holdings Limited (SEHK:8005),IQ7657641,2013,,,,,,19.8,31.6,15.1,443.2,13.9,351,0.674,0.016
Yuzhou Properties Company Limited (SEHK:1628),IQ78346186,2013,,,,,,731.4,988.9,94.7,5705,2024.6,1557.9,25.7,0.024
Zagro Asia Limited (SGX:Z01),IQ7657647,2013,,,,,,15.7,36.3,22.5,114.7,12.3,83.7,3.81,0.01
Zall Development Group Ltd. (SEHK:2098),IQ136757669,2013,,,,,,154,185.4,29.6,3815.2,1189.5,1436.4,0.923,0
Zebra Strategic Holdings Limited (SEHK:8260),IQ233628322,2013,,,,,,1.05,1.1,0.259,6.5,0.906,2.42,0.088,0
ZH International Holdings Limited (SEHK:185),IQ1789880,2013,,,,,,56.5,65.9,102.5,187.9,41.2,143.8,4.7,0
Zhaojin Mining Industry Co. Ltd. (SEHK:1818),IQ22546449,2013,609.6,63.1,40.6,38,6.47,216,223.1,1975.6,4873.2,1904.3,1943.8,479.6,0.021
Zheda Lande Scitech Ltd. (SEHK:8106),IQ8080004,2013,20252.3,12794.2,5630.7,5124.6,3704.7,3.35,3.35,0.901,22.8,1.96,18.4,0.098,0
"Zhejiang Chang'an Renheng Technology Co., Ltd. (SEHK:8139)",IQ243885201,2013,241.9,74.5,46.6,29.5,3.93,0.87,0.87,8.51,33.7,17.8,10.2,3.79,0
Zhejiang Expressway Co. Ltd. (SEHK:576),IQ882069,2013,42260.9,5548.1,2439.9,1791.2,621.5,376.8,857.2,367.4,6690.6,448.3,4101,52.6,0.065
Zhejiang Prospect Company Ltd. (SEHK:8273),IQ11422156,2013,98746,72889.1,39113.3,34878,27731.7,2.29,2.39,6.65,21.6,3.13,14.3,0.091,0
Zhejiang Shibao Company Limited (SEHK:1057),IQ27146259,2013,,,,,,14,14,101.4,274,52.3,161.7,6.51,0.017
"Zhejiang Tengy Environmental Technology Co.,Ltd (SEHK:1527)",IQ226501795,2013,,,,,,3.16,3.16,6.05,161.8,28.8,45.2,1.53,0
Zhejiang Yonglong Enterprises Co. Ltd. (SEHK:8211),IQ7689880,2013,,,,,,35.2,35.2,21.6,71.5,36,22.6,0.093,0
Zhengye International Holdings Company Limited (SEHK:3363),IQ128166826,2013,,,,,,26.6,28.7,126,430.5,189.2,108,16.7,0.004
"Zhengzhou Coal Mining Machinery Group Co., Ltd. (SHSE:601717)",IQ81848740,2013,862.4,105.4,14,-0.492,38.5,615.3,752,351,2634.3,28.4,2018.7,39.9,0.034
Zhi Cheng Holdings Limited (SEHK:8130),IQ7652989,2013,26700.3,3550.1,1471.8,1396.5,922,3.98,5.45,4.86,61,0.06,57.4,0.43,0
Zhidao International (Holdings) Limited (SEHK:1220),IQ4492991,2013,3088.7,-115.8,-10.6,-253.3,-2223.5,6.07,6.07,0.057,32.3,0,25.3,0.011,0
Zhong An Real Estate Limited (SEHK:672),IQ38686023,2013,,,,,,257.5,268.8,42.1,3574.5,1194.9,1290.5,3.53,0.004
Zhong Fa Zhan Holdings Limited (SEHK:475),IQ33510139,2013,,,,,,1.21,1.21,2.01,8.4,0,5.86,0.016,0
Zhong Hua International Holdings Ltd. (SEHK:1064),IQ4493021,2013,4251.1,766.8,556.8,274,148.2,6.84,6.84,1.16,662.1,21.7,443.5,0,0
Zhongmin Baihui Retail Group Ltd. (SGX:5SR),IQ118249256,2013,2084.3,922.6,310.4,224.6,330,31.3,31.3,9.55,96.5,3.76,18.7,3.5,0.01
Zhongsheng Group Holdings Limited (SEHK:881),IQ98901900,2013,16309.5,2092.7,691.6,573.2,461.5,802.7,815.2,1305.1,7033.8,3611.6,2021.9,397,0.02
Zhongtian International Ltd. (SEHK:2379),IQ11690007,2013,331.3,31.6,25.1,23.8,24,10.5,10.5,1.85,23.8,0,19.3,0,0
Zhongxin Fruit and Juice Limited (Catalist:5EG),IQ10524845,2013,74,-87,-92.5,-149.8,-299.7,0.605,0.728,16.8,26.4,8.01,11.3,0.618,0
Zhongyu Gas Holdings Ltd. (SEHK:3633),IQ8088263,2013,369,369,0,345.4,2733.5,69.9,85.4,416.6,765,294.5,314,98.8,0
Zhongzhi Pharmaceutical Holdings Limited (SEHK:3737),IQ289125551,2013,5943.2,5943.2,0,5724.4,5654.8,6.06,11.7,14.9,62.3,5.17,27.1,3.64,0
Zhuguang Holdings Group Company Limited (SEHK:1176),IQ4492996,2013,3556.8,200.6,108.6,80.7,70.2,162.3,168.6,3.3,1878.5,740.2,607.6,0,0
Zhuhai Holdings Investment Group Limited (SEHK:908),IQ20385248,2013,21534.2,21534.2,0,0,5162.6,148.3,151.6,107.7,1358.1,531,585.8,10.1,0.003
"Zhuzhou CSR Times Electric Co., Ltd. (SEHK:3898)",IQ30585735,2013,,,,,,653.9,780.4,381.6,2793.6,19.9,1907.8,62.2,0.073
ZICO Holdings Inc. (Catalist:40W),IQ274728063,2013,364.8,145.4,187.4,116.9,58.8,1.54,1.62,0.392,12.7,1.49,4.3,0.059,0.011
Zijin Mining Group Co. Ltd. (SEHK:2899),IQ8342858,2013,1253.1,399.4,90.7,73.5,73.3,936.5,1035.8,6553.6,13948.3,3451.3,6898.3,1797.5,0.017
Ziwo Holdings Ltd. (SGX:I9T),IQ62291460,2013,462.9,200.1,197,192.9,110.4,40.8,40.8,32.4,104.2,0,100.2,2.06,0
ZMFY Automobile Glass Services Limited (SEHK:8135),IQ245195765,2013,54241.2,26176.7,25060.3,20429.8,61.5,10.9,10.9,4.29,32.4,0,29.1,0.882,0
"Zoomlion Heavy Industry Science and Technology Co., Ltd. (SZSE:000157)",IQ9261932,2013,2566.3,532.2,133.9,86.3,89.2,4185.1,4186,1427.5,18668.5,4409.1,8767.8,237.2,0.031
ZTE Corp. (SZSE:000063),IQ3051118,2013,,,,,,4358.3,4403.6,1590.2,20866.6,6786.2,4926,487.2,0.005
Zuoli Kechuang Micro-Finance Company Limited (SEHK:6866),IQ272232507,2013,1679.5,382.1,230.7,196.8,180.7,16.9,48.2,0.34,162,35.7,122.9,0.006,0
,,2013,8036,2354,1121.4,1004.3,800.4,,,,,,,,
,,2013,15686.2,4509.5,200.9,-31.5,283.1,,,,,,,,
1010 Printing Group Limited (SEHK:1127),IQ136804909,2014,25.5,2.31,-2.93,-4.09,-5.2,27.1,27.9,42.6,212.8,22,135.5,4.06,0.012
361 Degrees International Limited (SEHK:1361),IQ60184932,2014,115,27,15.6,11.1,8.97,455,840.6,244.8,1823,320.4,1075.9,28.8,0.017
3Cnergy Limited (Catalist:502),IQ79611391,2014,120.2,24.6,9.38,7.73,1.72,1.17,1.17,1.37,12.9,0.572,6.56,0.256,0
3SBio Inc. (SEHK:1530),IQ24164591,2014,322.3,8.45,-3.35,-4.77,0.142,23,26.4,79.9,492.7,131.9,201.6,4.26,0
800 Super Holdings Limited (Catalist:5TG),IQ137292017,2014,15.7,1.31,2.21,0.411,-0.01,5.29,5.61,51.8,91.6,34.8,41.6,4.65,0.01
8Telecom International Holdings Co. Ltd. (SGX:AZG),IQ10902975,2014,,,,,,46.7,61.8,18.6,274.1,96.9,113.4,2.55,0.006
A-Sonic Aerospace Limited (SGX:AWQ),IQ8292720,2014,102.5,47.4,11.3,8.12,7.91,22,22.9,16,109.6,10.4,50.9,1.03,0
A8 New Media Group Limited (SEHK:800),IQ45043531,2014,49,3.69,-38.8,-39.5,-50.2,67.6,68.8,32.1,208.5,0,170.5,3.6,0
AA Group Holdings Ltd. (Catalist:5GZ),IQ23019599,2014,13.3,5.56,-1.86,-3.26,-3.89,1.08,1.11,15.2,27.5,7.86,13.3,0.324,0
AAC Technologies Holdings Inc. (SEHK:2018),IQ23246399,2014,,,,,,342.3,342.3,1128.9,2836.5,305.3,1963.4,459.7,0.164
AAG Energy Holdings Limited (SEHK:2686),IQ290858658,2014,47.7,15.1,9.05,8.95,4.2,234.9,234.9,454.8,746.5,77.4,598.7,90.6,0
ABC Communications (Holdings) Limited (SEHK:30),IQ878339,2014,70.4,27.7,-29.3,-31.8,-32.6,6.63,7.13,11.6,96.7,5.2,74.8,0.367,0
abc Multiactive Limited (SEHK:8131),IQ7602691,2014,17.2,7.24,0.788,0.462,0.057,1.1,1.1,0.016,1.34,8.03,-8.29,0.002,0
ABF Hong Kong Bond Index Fund (SEHK:2819),IQ100846081,2014,69.9,2.81,-4.51,-4.82,2,,,,,,,,
ABF Pan Asia Bond Index Fund (SEHK:2821),IQ33833176,2014,87.1,19.4,1.83,-1.7,-1.73,48,3822,0,3855.4,0,3800.3,0,5.15
ABF Singapore Bond Index Fund (SGX:A35),IQ59448492,2014,99.3,13.7,5.38,3.64,3.02,,,,,,,,
ABR Holdings Limited (SGX:533),IQ4492730,2014,34.8,8.94,1.63,-0.37,-1.07,51.8,82.3,24.3,116.9,0.116,99.7,2.59,0.025
Abterra Ltd. (SGX:L5I),IQ8081418,2014,4.65,0.791,-1.86,-2.45,-2.39,1.66,1.93,12.3,175.9,15.6,144.2,0.037,0
Abundance International Limited (Catalist:541),IQ7646669,2014,27.4,1.95,-0.173,-2.46,-7.89,14.1,14.3,24.9,45.9,11.1,30.8,0.017,0
Accordia Golf Trust (SGX:ADQU),IQ267094243,2014,33.3,3.99,-6.74,-8.63,-34.6,,,,,,,,
Ace Achieve Infocom Limited (SGX:A75),IQ12532816,2014,108.2,66.1,64.2,64.2,83.9,13.5,16.9,0.331,171.5,64,81.3,0.196,0
Acma Ltd. (SGX:AYV),IQ874288,2014,10,1.46,-1.09,-1.11,-13.1,7.17,7.17,7.33,110.6,4.3,72.4,1.14,0
AcrossAsia Limited (SEHK:8061),IQ2446007,2014,0,-0.265,-4.03,-4.04,-7.4,72,72,526,1048.8,251.9,554.1,96.5,0
Active Group Holdings Limited (SEHK:1096),IQ140170062,2014,99.6,39.7,1.73,-2.37,-7.93,22.2,22.8,25.7,338.2,126.5,131.2,13.4,0
Addchance Holdings Limited (SEHK:3344),IQ24046779,2014,33.1,4.08,0.985,0.936,1.15,24.9,25.2,137.1,451.3,201.3,161.9,16.7,0
Addvalue Technologies Ltd (SGX:A31),IQ2904320,2014,76,70.4,25.8,21.8,35.3,0.323,0.522,1.29,33.8,4.22,23.9,1.02,0
Advance SCT Limited (SGX:5FH),IQ12617492,2014,8.98,3.98,2.87,2.1,0.642,9.74,9.94,3.37,40,20.3,9.44,1.02,0
Advanced Card Systems Holdings Ltd. (SEHK:2086),IQ10930325,2014,27.6,11.4,2.19,-0.683,1.12,6.09,6.11,1.33,32,6.04,20,0.856,0.003
Advanced Holdings Ltd. (SGX:5IA),IQ11756033,2014,49,11.6,2.08,0.541,0.724,14.4,14.7,31.7,135.6,13.3,71.5,4.17,0.003
Advanced Integrated Manufacturing Corp. Ltd. (SGX:AXH),IQ22354866,2014,29,2.48,-7,-9.25,-12,7.73,8.12,10.7,86.4,26.3,41.6,0.399,0.012
Advanced Semiconductor Manufacturing Corporation Limited (SEHK:3355),IQ5843997,2014,78.4,13.7,5.92,4.83,5,102.4,102.5,76.9,229,0,194.6,12.8,0
Advanced Systems Automation Limited (Catalist:5TY),IQ2491510,2014,170.9,170.9,101.1,100.2,87.5,5.84,6.08,12.3,37.6,7.68,20,1.71,0
Adventus Holdings Limited (Catalist:5EF),IQ9950890,2014,2.01,0.785,-4.29,-4.59,-5.81,20.2,21.5,3.55,26.4,1.42,23.4,0.045,0
AEI Corporation Ltd. (SGX:AWG),IQ10930302,2014,214.3,151.3,69,42.8,16.7,22.7,22.7,16.1,58.9,4.81,46.2,1.22,0
AEM Holdings Ltd. (SGX:AWX),IQ8086209,2014,120.7,72.7,64.3,64.2,50.1,11.2,11.5,6.16,36,0.202,17.9,5.53,0
AEON Credit Service (Asia) Company Limited (SEHK:900),IQ881944,2014,613.6,400.4,395.9,395.2,482,25.8,25.8,18.2,994.4,572.3,382.5,9.14,0.057
Aeon Stores (Hong Kong) Co. Limited (SEHK:984),IQ878921,2014,357.2,163,172.9,156.6,122.5,414.6,415.7,109.5,895.2,0.466,355.9,21,0.059
Agile Property Holdings Limited (SEHK:3383),IQ24905100,2014,65.1,8.33,1.25,0.819,1.91,1296.1,1296.1,1643.9,26411.5,9139.4,8778,206.2,0.067
Agricultural Bank of China Limited (SEHK:1288),IQ5463985,2014,0,0,0.019,-2.06,3.78,80627.9,392928.7,33097.6,3412111.8,164147.2,220569.5,5553,0.039
Agritrade Resources Limited (SEHK:1131),IQ882133,2014,0.073,0.073,-2.12,-2.13,-3.35,27.7,27.7,480.5,596.4,59,364.3,45.8,0.005
AGTech Holdings Ltd. (SEHK:8279),IQ20385972,2014,19.4,5.47,1.19,-0.164,0.67,46.9,53.4,2.59,228.2,0,208.8,1.31,0
Ahsay Backup Software Development Company Limited (SEHK:8290),IQ312165083,2014,6.55,2.1,-1.32,-1.47,-0.602,2.03,3.19,4.99,20.5,7.84,7.69,0.038,0
AIA Group Limited (SEHK:1299),IQ98900561,2014,318.7,257.1,191.6,146.4,114.3,1745.3,1914.7,705.1,217562.2,8983,40346.7,0,0.083
AID Partners Capital Holdings Limited (SEHK:8088),IQ7658262,2014,23.8,4.68,0.298,-1.29,19.5,17.4,18.4,14.1,63.1,40.2,2.07,2.91,0
AIMS AMP Capital Industrial REIT (SGX:O5RU),IQ33332526,2014,60.2,12.3,4.01,0.606,0.154,21.8,21.8,1157.5,1405.2,443.4,911.9,0,0.105
Aims Property Securities Fund (ASX:APW),IQ20383746,2014,90.1,6.94,-8.97,-10,-9.65,22.1,27.9,0,90.5,0,90.2,0,0.002
Air China Limited (SEHK:753),IQ12436039,2014,509.8,58.8,75,28.5,22.1,2063.4,2499.9,31651.5,44709.2,24450,12626,3954.7,0.011
Ajisen China Holdings Ltd. (SEHK:538),IQ33191940,2014,510.1,170.8,31.7,26.9,43.1,330,330,219.5,710.8,32.7,595.8,34,0.03
AKM Industrial Co. Ltd. (SEHK:1639),IQ11520629,2014,135.2,46.5,8.81,1.91,2.86,8.22,8.22,68.2,137.9,15.7,89,26.7,0
Albedo Limited (Catalist:5IB),IQ26287299,2014,65.8,27.2,24.7,18.6,17.7,9.84,9.84,0.021,11.1,0.474,9.76,0,0
Alco Holdings Limited (SEHK:328),IQ24544,2014,9.13,8.07,-18.5,-19.6,-58.4,149.9,150.2,34.5,415.6,21.1,301.1,19.3,0.011
Alibaba Health Information Technology Limited (SEHK:241),IQ4481114,2014,424.4,176.5,17.8,2.02,0.231,35.9,36.6,1.64,80.2,0,57.1,0.768,0
Alibaba Pictures Group Limited (SEHK:1060),IQ142011474,2014,355.6,5.81,-32.7,-45.8,-14,6.44,1130.2,5.24,1353.7,0,1295.9,1.97,0
Allan International Holdings Limited (SEHK:684),IQ4497464,2014,23,3.32,0.986,-0.663,-9.93,41.7,87.6,54.8,280.1,18.1,169.9,3.73,0.017
Alliance Mineral Assets Limited (Catalist:40F),IQ266871983,2014,97.2,35.4,5.64,4.3,3.08,4.33,4.33,23.2,28.6,7.58,18.5,2.79,0
Allied Cement Holdings Limited (SEHK:1312),IQ59322382,2014,27.6,8.95,3.82,3.75,3.02,175.4,220.8,73.8,414.6,75.6,292.8,5.11,0
Allied Group Limited (SEHK:373),IQ875760,2014,329.4,34.7,14.7,8.48,5.78,921.4,1241,187.6,8333.3,1959,5792.7,44.7,0.282
Allied Properties (H.K.) Limited (SEHK:56),IQ877098,2014,86.3,22.7,14.1,11.8,13.5,750.3,909.9,181.3,8538.2,1994.7,5943.5,44.6,0.009
Allied Technologies Limited (SGX:A13),IQ12675846,2014,128.3,15.1,2.59,2.25,1.4,10.3,10.7,51,116.6,3.23,61.8,12,0
Alltronics Holdings Ltd. (SEHK:833),IQ22917525,2014,327.9,170.2,40.6,20.5,1.03,11,11.1,6.63,95,23.5,41.9,1.5,0.02
Alpha Energy Holdings Limited (Catalist:5TS),IQ142562391,2014,671.6,28.7,16.2,9.87,11.2,2.24,2.38,0.207,13.7,0.456,6.22,0.035,0.004
Aluminum Corporation Of China Limited (SEHK:2600),IQ1539526,2014,75.6,14.1,5.54,-3.21,-5.02,3475,4661.1,20085.5,41146.6,25618.7,8464.8,1717,0
Amara Holdings Limited (SGX:A34),IQ2491513,2014,75.3,54.8,8.87,6.28,4.05,12.8,14.8,215.5,635.3,259.3,338.1,41.5,0.01
Amax International Holdings Limited (SEHK:959),IQ882105,2014,85,16.9,-0.17,-4.2,-2.16,0.643,0.643,0.266,211.9,28.8,181.9,0.139,0
Amber Energy Limited (SEHK:90),IQ60423886,2014,407.5,315.1,100,68.4,51.1,31.7,36,251.2,341.2,196.3,86.8,24.5,0
AMCO United Holding Limited (SEHK:630),IQ4492881,2014,,,,,,10.7,10.7,0.541,14,0.373,8.23,0.442,0
Amplefield Limited (SGX:AOF),IQ7687702,2014,34.2,4.23,-6.97,-9.79,-12.1,2.38,2.38,5.33,45.2,4.2,35.8,0.524,0
AMS Public Transport Holdings Limited (SEHK:77),IQ10917063,2014,-3.54,-5.98,-15,-15.4,-66.9,7.85,9.15,2.85,72.5,25.4,43.7,0.212,0
AMVIG Holdings Limited (SEHK:2300),IQ9794129,2014,64.4,25.2,11.6,8.86,7.21,496.9,496.9,113.8,1323.5,436.9,671.7,15.1,0.027
Anchun International Holdings Ltd. (SGX:MF5),IQ105911393,2014,198,108.3,50.8,33.5,34.2,35.2,35.2,26,103.6,9.58,68.1,2.94,0
Angang Steel Company Limited (SEHK:347),IQ5478359,2014,209.2,52.9,38.1,33.3,35.8,367,367,11127.2,19499.9,5922.5,10294.8,943.3,0.01
Anhui Conch Cement Co. Ltd. (SEHK:914),IQ5536230,2014,513.7,175.4,88,79.6,70.7,2672.6,2993,13343.5,21841.5,4254.2,14787,1329.2,0.139
Anhui Expressway Co. Ltd. (SEHK:995),IQ5836723,2014,397.4,54.6,37.9,32.9,28.4,119.6,119.6,266.6,2463.4,443.2,1804.9,145.6,0.049
Anhui Tianda Oil Pipe Company Limited (SEHK:839),IQ30177891,2014,589.6,310.6,67.3,21.3,12.2,101.4,101.8,247.1,627.9,39.8,475.5,10.1,0.009
AnnAik Limited (SGX:A52),IQ9284759,2014,3.78,1.86,0.342,0.171,3.66,7.29,7.29,30.7,122.1,43.2,69.7,10.2,0.002
Annica Holdings Limited (Catalist:5AL),IQ774122,2014,694.5,67.5,45.1,4.23,0.173,3.1,3.62,3.41,19.3,0.782,9.1,0.071,0
ANTA Sports Products Limited (SEHK:2020),IQ35196211,2014,408.3,159.6,133.3,133.1,111.3,1053.9,1450.7,228.1,2431.6,288,1709.8,51.3,0.091
Anton Oilfield Services Group (SEHK:3337),IQ33175419,2014,615.8,250.5,231.7,212.2,123.3,162.3,164,489.9,1386.5,574.6,459,98.7,0
Anxian Yuan China Holdings Limited (SEHK:922),IQ20413079,2014,129.5,66.4,68.4,46.6,33.2,1.74,2.75,1.08,124.5,19.8,73.1,0.301,0
